title,price,rating,availability,page_number,scraped_at
A Light in the Attic,£51.77,Three,In stock,1,2026-06-24 23:53
Tipping the Velvet,£53.74,One,In stock,1,2026-06-24 23:53
Soumission,£50.10,One,In stock,1,2026-06-24 23:53
Sharp Objects,£47.82,Four,In stock,1,2026-06-24 23:53
Sapiens: A Brief History of Humankind,£54.23,Five,In stock,1,2026-06-24 23:53
The Requiem Red,£22.65,One,In stock,1,2026-06-24 23:53
The Dirty Little Secrets of Getting Your Dream Job,£33.34,Four,In stock,1,2026-06-24 23:53
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,Three,In stock,1,2026-06-24 23:53
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,Four,In stock,1,2026-06-24 23:53
The Black Maria,£52.15,One,In stock,1,2026-06-24 23:53
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,Two,In stock,1,2026-06-24 23:53
Shakespeare's Sonnets,£20.66,Four,In stock,1,2026-06-24 23:53
Set Me Free,£17.46,Five,In stock,1,2026-06-24 23:53
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,Five,In stock,1,2026-06-24 23:53
Rip it Up and Start Again,£35.02,Five,In stock,1,2026-06-24 23:53
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,Three,In stock,1,2026-06-24 23:53
Olio,£23.88,One,In stock,1,2026-06-24 23:53
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,One,In stock,1,2026-06-24 23:53
Libertarianism for Beginners,£51.33,Two,In stock,1,2026-06-24 23:53
It's Only the Himalayas,£45.17,Two,In stock,1,2026-06-24 23:53
In Her Wake,£12.84,One,In stock,2,2026-06-24 23:53
How Music Works,£37.32,Two,In stock,2,2026-06-24 23:53
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,Three,In stock,2,2026-06-24 23:53
Chase Me (Paris Nights #2),£25.27,Five,In stock,2,2026-06-24 23:53
Black Dust,£34.53,Five,In stock,2,2026-06-24 23:53
Birdsong: A Story in Pictures,£54.64,Three,In stock,2,2026-06-24 23:53
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,Three,In stock,2,2026-06-24 23:53
Aladdin and His Wonderful Lamp,£53.13,Three,In stock,2,2026-06-24 23:53
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,Five,In stock,2,2026-06-24 23:53
Wall and Piece,£44.18,Four,In stock,2,2026-06-24 23:53
